Date,Value
1991-Q1,15.371
1991-Q2,16.149
1991-Q3,16.908
1991-Q4,17.199
1992-Q1,18.720
1992-Q2,19.174
1992-Q3,19.538
1992-Q4,19.288
1993-Q1,19.537
1993-Q2,20.147
1993-Q3,20.472
1993-Q4,19.241
1994-Q1,20.319
1994-Q2,20.868
1994-Q3,21.157
1994-Q4,21.058
1995-Q1,20.669
1995-Q2,21.182
1995-Q3,21.628
1995-Q4,21.127
1996-Q1,18.029
1996-Q2,20.427
1996-Q3,19.817
1996-Q4,19.452
1997-Q1,18.310
1997-Q2,18.965
1997-Q3,19.090
1997-Q4,19.726
1998-Q1,18.947
1998-Q2,18.024
1998-Q3,17.968
1998-Q4,17.717
1999-Q1,16.125
1999-Q2,16.392
1999-Q3,17.129
1999-Q4,16.844
2000-Q1,16.966
2000-Q2,16.455
2000-Q3,16.202
2000-Q4,15.971
2001-Q1,16.311
2001-Q2,16.231
2001-Q3,15.945
2001-Q4,15.244
2002-Q1,14.487
2002-Q2,14.508
2002-Q3,14.208
2002-Q4,13.681
2003-Q1,14.062
2003-Q2,13.864
2003-Q3,13.720
2003-Q4,13.618
2004-Q1,14.073
2004-Q2,13.819
2004-Q3,13.647
2004-Q4,14.353
2005-Q1,13.253
2005-Q2,13.686
2005-Q3,14.064
2005-Q4,14.937
2006-Q1,13.431
2006-Q2,14.235
2006-Q3,14.997
2006-Q4,16.044
2007-Q1,15.855
2007-Q2,15.521
2007-Q3,15.485
2007-Q4,16.304
2008-Q1,16.869
2008-Q2,16.666
2008-Q3,16.740
2008-Q4,16.142
2009-Q1,15.445
2009-Q2,15.804
2009-Q3,15.672
2009-Q4,15.619
2010-Q1,14.736
2010-Q2,16.701
2010-Q3,16.820
2010-Q4,16.249
2011-Q1,17.751
2011-Q2,18.478
2011-Q3,18.152
2011-Q4,18.580
2012-Q1,18.332
2012-Q2,19.135
2012-Q3,18.899
2012-Q4,18.582
2013-Q1,17.697
2013-Q2,18.983
2013-Q3,19.108
2013-Q4,18.827
2014-Q1,19.395
2014-Q2,19.339
2014-Q3,19.761
2014-Q4,19.597
2015-Q1,18.881
2015-Q2,18.833
2015-Q3,18.815
2015-Q4,19.193
2016-Q1,19.271
2016-Q2,18.999
2016-Q3,19.355
2016-Q4,19.493
2017-Q1,19.991
2017-Q2,20.211
2017-Q3,20.570
2017-Q4,20.871
2018-Q1,20.764
2018-Q2,21.316
2018-Q3,21.841
2018-Q4,22.626
2019-Q1,21.871
2019-Q2,22.278
2019-Q3,22.381
2019-Q4,22.510
2020-Q1,23.344
2020-Q2,22.442
2020-Q3,22.126
2020-Q4,22.920
2021-Q1,22.343
2021-Q2,23.768
2021-Q3,23.834
2021-Q4,24.637
2022-Q1,25.368
2022-Q2,26.683
2022-Q3,26.729
2022-Q4,26.679
2023-Q1,27.102
2023-Q2,26.759
2023-Q3,26.579
2023-Q4,26.512
2024-Q1,26.208
2024-Q2,25.901
2024-Q3,26.056
2024-Q4,26.709
2025-Q1,27.504
2025-Q2,27.130
