Date,Value
1990-Q1,60.9
1990-Q2,63.8
1990-Q3,62.4
1990-Q4,65.5
1991-Q1,57.5
1991-Q2,60.2
1991-Q3,58.9
1991-Q4,61.1
1992-Q1,55.4
1992-Q2,58.0
1992-Q3,57.0
1992-Q4,59.4
1993-Q1,54.0
1993-Q2,56.8
1993-Q3,56.9
1993-Q4,60.3
1994-Q1,54.8
1994-Q2,58.6
1994-Q3,59.5
1994-Q4,64.2
1995-Q1,57.7
1995-Q2,62.6
1995-Q3,61.7
1995-Q4,65.3
1996-Q1,60.2
1996-Q2,63.7
1996-Q3,63.5
1996-Q4,68.8
1997-Q1,61.6
1997-Q2,67.5
1997-Q3,68.2
1997-Q4,75.3
1998-Q1,66.1
1998-Q2,71.5
1998-Q3,71.9
1998-Q4,78.0
1999-Q1,70.4
1999-Q2,75.0
1999-Q3,74.3
1999-Q4,80.4
2000-Q1,74.6
2000-Q2,78.9
2000-Q3,78.9
2000-Q4,85.0
2001-Q1,77.7
2001-Q2,81.7
2001-Q3,80.8
2001-Q4,85.5
2002-Q1,78.0
2002-Q2,83.6
2002-Q3,81.9
2002-Q4,87.7
2003-Q1,78.9
2003-Q2,84.8
2003-Q3,84.4
2003-Q4,89.8
2004-Q1,82.5
2004-Q2,87.8
2004-Q3,86.8
2004-Q4,94.2
2005-Q1,85.9
2005-Q2,90.7
2005-Q3,89.3
2005-Q4,95.2
2006-Q1,89.7
2006-Q2,94.0
2006-Q3,92.7
2006-Q4,99.2
2007-Q1,93.6
2007-Q2,99.4
2007-Q3,97.6
2007-Q4,105.1
2008-Q1,96.4
2008-Q2,101.5
2008-Q3,98.6
2008-Q4,102.3
2009-Q1,87.9
2009-Q2,92.0
2009-Q3,91.0
2009-Q4,95.7
2010-Q1,88.5
2010-Q2,95.7
2010-Q3,93.1
2010-Q4,100.9
2011-Q1,93.2
2011-Q2,97.4
2011-Q3,95.5
2011-Q4,101.0
2012-Q1,93.3
2012-Q2,95.9
2012-Q3,93.6
2012-Q4,98.5
2013-Q1,90.3
2013-Q2,95.5
2013-Q3,93.7
2013-Q4,98.1
2014-Q1,89.9
2014-Q2,94.7
2014-Q3,93.3
2014-Q4,97.9
2015-Q1,89.5
2015-Q2,95.5
2015-Q3,93.5
2015-Q4,99.1
2016-Q1,92.0
2016-Q2,97.7
2016-Q3,96.1
2016-Q4,101.4
2017-Q1,95.1
2017-Q2,100.9
2017-Q3,99.1
2017-Q4,104.9
2018-Q1,97.5
2018-Q2,102.4
2018-Q3,99.8
2018-Q4,105.1
2019-Q1,98.0
2019-Q2,103.6
2019-Q3,101.8
2019-Q4,106.8
2020-Q1,98.0
2020-Q2,96.2
2020-Q3,99.3
2020-Q4,106.6
2021-Q1,95.7
2021-Q2,103.2
2021-Q3,102.2
2021-Q4,109.6
2022-Q1,98.7
2022-Q2,105.0
2022-Q3,102.5
2022-Q4,107.7
2023-Q1,99.3
2023-Q2,104.3
2023-Q3,100.3
2023-Q4,106.1
2024-Q1,97.9
2024-Q2,103.8
2024-Q3,102.3
2024-Q4,107.7
2025-Q1,98.6
2025-Q2,103.4
